statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
21040,국립암센터,2021,77,F,N,1,1,1,1
21040,국립암센터,2021,75,M,Y,2,3,2,3
21040,국립암센터,2021,71,F,N,1,2,1,2
21040,국립암센터,2021,63,F,N,1,1,1,1
21040,국립암센터,2021,67,M,N,1,2,1,2
21040,국립암센터,2021,63,M,N,2,3,2,3
21040,국립암센터,2021,56,M,N,1,2,1,2
21040,국립암센터,2021,62,M,Y,2,3,2,3
21040,국립암센터,2021,81,F,N,2,2,2,2
21040,국립암센터,2021,60,M,Y,1,2,1,2
21040,국립암센터,2021,71,F,Y,1,2,1,2
21040,국립암센터,2021,82,F,N,1,1,1,1
21040,국립암센터,2021,65,F,N,1,1,1,1
21040,국립암센터,2021,63,M,Y,1,3,1,3
21040,국립암센터,2021,74,F,N,1,1,1,1
21040,국립암센터,2021,79,M,N,1,1,1,1
21040,국립암센터,2021,74,M,Y,3,4,3,4
21040,국립암센터,2021,70,M,Y,2,2,2,2
21040,국립암센터,2021,55,M,Y,2,2,2,2
21040,국립암센터,2021,72,M,N,2,2,2,2
21040,국립암센터,2021,73,M,N,1,1,1,1
21040,국립암센터,2021,60,M,N,1,2,1,2
21040,국립암센터,2021,84,F,N,1,1,1,1
21040,국립암센터,2021,56,F,N,1,1,1,1
21040,국립암센터,2021,90,F,N,1,1,1,1
21040,국립암센터,2021,40,F,Y,1,1,1,1
21040,국립암센터,2021,75,F,N,3,3,3,3
21040,국립암센터,2021,73,F,N,2,2,2,2
21040,국립암센터,2021,53,M,Y,1,1,1,1
21040,국립암센터,2021,50,M,Y,1,1,1,1
21040,국립암센터,2021,64,M,Y,1,2,1,2
21040,국립암센터,2021,80,M,Y,3,3,3,3
21040,국립암센터,2021,71,M,Y,3,3,3,3
21040,국립암센터,2021,66,M,Y,2,2,2,2
21040,국립암센터,2021,81,M,N,1,1,1,1
21040,국립암센터,2021,62,M,N,1,3,1,3
21040,국립암센터,2021,38,M,N,1,1,1,1
21040,국립암센터,2021,68,F,N,1,1,1,1
21040,국립암센터,2021,67,F,N,1,1,1,1
21040,국립암센터,2021,56,M,Y,1,2,1,2
21040,국립암센터,2021,61,F,N,1,1,1,1
21040,국립암센터,2021,50,F,Y,1,1,1,1
21040,국립암센터,2021,70,F,N,1,1,1,1
21040,국립암센터,2021,52,M,Y,1,1,1,1
21040,국립암센터,2021,62,F,Y,1,1,1,1
21040,국립암센터,2021,76,M,N,1,1,1,1
21040,국립암센터,2021,59,M,Y,1,1,1,1
21040,국립암센터,2021,79,F,N,2,2,2,2
21040,국립암센터,2021,42,F,N,1,1,1,1
21040,국립암센터,2021,75,M,N,1,3,1,3
21040,국립암센터,2021,66,F,N,2,2,2,2
21040,국립암센터,2021,64,M,N,1,2,1,2
21040,국립암센터,2021,68,M,N,2,2,2,2
21040,국립암센터,2021,78,F,N,4,4,4,4
21040,국립암센터,2021,67,M,Y,1,2,1,2
21040,국립암센터,2021,78,M,Y,1,1,1,1
21040,국립암센터,2021,64,F,N,2,2,2,2
21040,국립암센터,2021,57,M,Y,1,1,1,1
21040,국립암센터,2021,74,M,N,1,4,1,4
21040,국립암센터,2021,83,F,N,1,1,1,1
