statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
21060,uad6dub9bduc554uc13cud130,2011,71,F,N,7,7,7,7
21060,uad6dub9bduc554uc13cud130,2017,50,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2012,50,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,60,F,N,5,5,5,5
21060,uad6dub9bduc554uc13cud130,2018,73,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2012,73,M,Y,5,7,4,6
21060,uad6dub9bduc554uc13cud130,2014,78,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2017,48,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2009,63,M,Y,5,5,5,5
21060,uad6dub9bduc554uc13cud130,2008,63,M,N,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2015,71,M,Y,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2010,64,M,N,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2009,64,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2015,73,F,N,5,5,5,5
21060,uad6dub9bduc554uc13cud130,2015,69,M,Y,5,6,5,6
21060,uad6dub9bduc554uc13cud130,2012,67,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,64,M,Y,1,4,1,4
21060,uad6dub9bduc554uc13cud130,2012,49,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,74,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2008,53,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,81,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2011,52,M,N,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2012,41,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2015,54,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2018,91,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,76,M,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2012,55,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2013,77,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2015,60,M,Y,3,5,3,5
21060,uad6dub9bduc554uc13cud130,2018,77,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2014,86,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,37,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,82,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,82,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,75,F,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2009,45,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,68,F,N,5,6,5,6
21060,uad6dub9bduc554uc13cud130,2017,64,M,Y,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2014,54,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2008,66,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2012,85,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,74,F,N,7,7,6,6
21060,uad6dub9bduc554uc13cud130,2014,53,M,Y,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2011,50,F,N,4,4,4,4
21060,uad6dub9bduc554uc13cud130,2017,63,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,73,M,Y,6,11,6,11
21060,uad6dub9bduc554uc13cud130,2017,54,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,65,M,Y,3,3,3,3
