statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
16040,uad6dub9bduc554uc13cud130,2014,56,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,27,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,67,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,44,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,55,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,62,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2014,42,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,63,M,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2016,61,F,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2013,52,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,58,M,N,1,6,1,6
16040,uad6dub9bduc554uc13cud130,2016,55,M,N,2,5,2,5
16040,uad6dub9bduc554uc13cud130,2016,59,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2013,69,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,64,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2009,64,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,69,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,64,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2008,37,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,51,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,51,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2017,65,M,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2015,73,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,67,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2011,50,M,Y,4,6,4,6
16040,uad6dub9bduc554uc13cud130,2018,76,M,Y,4,4,4,4
