statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
16050,국립암센터,2021,62,M,N,3,4,3,4
16050,국립암센터,2021,73,M,N,2,2,2,2
16050,국립암센터,2021,70,M,Y,1,2,1,2
16050,국립암센터,2021,86,M,N,1,1,1,1
16050,국립암센터,2021,76,F,N,1,1,1,1
16050,국립암센터,2021,59,M,Y,1,3,1,3
16050,국립암센터,2021,50,M,N,2,2,2,2
16050,국립암센터,2021,59,M,N,2,3,2,3
16050,국립암센터,2021,54,M,Y,1,2,1,2
16050,국립암센터,2021,48,M,Y,1,3,1,3
16050,국립암센터,2021,26,F,N,1,1,1,1
16050,국립암센터,2021,42,M,N,1,1,1,1
16050,국립암센터,2021,54,F,N,2,2,2,2
16050,국립암센터,2021,63,F,N,1,1,1,1
16050,국립암센터,2021,61,F,N,1,1,1,1
16050,국립암센터,2021,55,M,N,1,1,1,1
16050,국립암센터,2021,73,F,N,1,1,1,1
16050,국립암센터,2021,52,M,Y,1,1,1,1
16050,국립암센터,2021,66,F,N,1,1,1,1
16050,국립암센터,2021,33,F,N,1,1,1,1
16050,국립암센터,2021,35,M,N,1,1,1,1
16050,국립암센터,2021,64,M,N,1,2,1,2
16050,국립암센터,2021,70,M,N,1,2,1,2
16050,국립암센터,2021,48,F,N,1,1,1,1
16050,국립암센터,2021,68,F,N,1,1,1,1
16050,국립암센터,2021,56,M,N,1,1,1,1
16050,국립암센터,2021,46,M,N,1,1,1,1
16050,국립암센터,2021,54,M,N,1,2,1,2
16050,국립암센터,2021,57,F,N,1,1,1,1
16050,국립암센터,2021,72,F,N,2,2,2,2
16050,국립암센터,2021,66,M,N,1,1,1,1
16050,국립암센터,2021,62,M,Y,1,4,1,4
16050,국립암센터,2021,81,M,N,2,2,2,2
16050,국립암센터,2021,61,M,N,2,3,2,3
16050,국립암센터,2021,61,M,Y,1,3,1,3
16050,국립암센터,2021,44,M,N,1,1,1,1
16050,국립암센터,2021,51,M,N,1,1,1,1
16050,국립암센터,2021,83,M,N,1,1,1,1
16050,국립암센터,2021,65,M,Y,1,1,1,1
16050,국립암센터,2021,47,M,Y,2,2,2,2
16050,국립암센터,2021,45,M,Y,1,1,1,1
16050,국립암센터,2021,49,M,N,1,1,1,1
16050,국립암센터,2021,72,M,N,1,1,1,1
16050,국립암센터,2021,82,M,N,1,1,1,1
16050,국립암센터,2021,63,M,N,1,1,1,1
16050,국립암센터,2021,48,M,N,2,3,2,3
16050,국립암센터,2021,64,M,Y,1,2,1,2
16050,국립암센터,2021,58,M,N,1,1,1,1
16050,국립암센터,2021,75,M,Y,1,1,1,1
16050,국립암센터,2021,74,M,N,1,1,1,1
16050,국립암센터,2021,71,M,N,4,4,4,4
16050,국립암센터,2021,79,M,N,1,1,1,1
16050,국립암센터,2021,60,M,N,2,2,2,2
16050,국립암센터,2021,80,M,N,1,1,1,1
16050,국립암센터,2021,68,M,N,4,4,4,4
16050,국립암센터,2021,78,F,N,2,2,2,2
16050,국립암센터,2021,58,F,N,3,3,3,3
