statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
18040,국립암센터,2021,70,M,N,1,1,1,1
18040,국립암센터,2021,51,M,Y,2,2,2,2
18040,국립암센터,2021,64,M,Y,1,1,1,1
18040,국립암센터,2021,52,M,Y,2,2,2,2
18040,국립암센터,2021,59,M,Y,1,1,1,1
18040,국립암센터,2021,56,M,Y,2,2,2,2
18040,국립암센터,2021,65,M,Y,2,2,2,2
18040,국립암센터,2021,62,F,N,2,2,2,2
18040,국립암센터,2021,83,M,Y,1,1,1,1
18040,국립암센터,2021,51,F,N,1,1,1,1
18040,국립암센터,2021,57,M,Y,2,2,2,2
18040,국립암센터,2021,47,M,Y,1,1,1,1
18040,국립암센터,2021,54,M,Y,2,2,2,2
18040,국립암센터,2021,55,M,Y,1,1,1,1
18040,국립암센터,2021,74,M,Y,2,2,2,2
18040,국립암센터,2021,38,M,N,1,1,1,1
18040,국립암센터,2021,72,F,N,1,1,1,1
18040,국립암센터,2021,61,F,Y,1,2,1,2
18040,국립암센터,2021,49,M,N,1,1,1,1
18040,국립암센터,2021,66,M,Y,1,1,1,1
18040,국립암센터,2021,61,F,N,1,2,1,2
18040,국립암센터,2021,70,F,N,1,1,1,1
18040,국립암센터,2021,77,M,N,1,1,1,1
18040,국립암센터,2021,53,M,Y,1,1,1,1
18040,국립암센터,2021,60,M,Y,1,1,1,1
18040,국립암센터,2021,35,F,N,1,1,1,1
18040,국립암센터,2021,68,F,Y,1,1,1,1
18040,국립암센터,2021,36,F,Y,1,1,1,1
18040,국립암센터,2021,71,M,N,1,1,1,1
18040,국립암센터,2021,62,M,Y,1,1,1,1
18040,국립암센터,2021,63,M,Y,1,1,1,1
