statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
14050,uad6dub9bduc554uc13cud130,2015,71,M,N,17,21,13,15
14050,uad6dub9bduc554uc13cud130,2009,59,M,,0,0,8,8
14050,uad6dub9bduc554uc13cud130,2010,71,F,,0,0,4,4
14050,uad6dub9bduc554uc13cud130,2008,84,M,,0,0,1,1
14050,uad6dub9bduc554uc13cud130,2013,59,M,N,11,13,9,10
14050,uad6dub9bduc554uc13cud130,2013,51,F,N,2,2,2,2
14050,uad6dub9bduc554uc13cud130,2015,76,M,N,12,14,10,12
14050,uad6dub9bduc554uc13cud130,2009,70,M,,0,0,9,9
14050,uad6dub9bduc554uc13cud130,2014,47,M,N,4,4,4,4
14050,uad6dub9bduc554uc13cud130,2017,72,M,N,19,19,13,13
14050,uad6dub9bduc554uc13cud130,2012,75,M,N,5,13,4,12
14050,uad6dub9bduc554uc13cud130,2016,48,M,N,8,10,6,7
14050,uad6dub9bduc554uc13cud130,2016,77,M,Y,6,16,4,10
14050,uad6dub9bduc554uc13cud130,2012,59,M,Y,9,14,9,13
14050,uad6dub9bduc554uc13cud130,2012,65,M,Y,13,20,11,18
14050,uad6dub9bduc554uc13cud130,2013,47,F,N,1,1,1,1
14050,uad6dub9bduc554uc13cud130,2011,41,F,,0,0,1,1
14050,uad6dub9bduc554uc13cud130,2017,71,M,Y,1,14,1,12
14050,uad6dub9bduc554uc13cud130,2015,57,F,N,8,8,8,8
14050,uad6dub9bduc554uc13cud130,2013,83,M,N,3,5,3,5
14050,uad6dub9bduc554uc13cud130,2012,53,M,N,2,3,2,3
14050,uad6dub9bduc554uc13cud130,2012,78,M,Y,6,7,5,6
14050,uad6dub9bduc554uc13cud130,2010,65,F,,0,0,3,3
14050,uad6dub9bduc554uc13cud130,2012,49,F,N,1,1,1,1
14050,uad6dub9bduc554uc13cud130,2008,49,M,,0,0,3,3
14050,uad6dub9bduc554uc13cud130,2018,66,M,N,13,15,10,12
14050,uad6dub9bduc554uc13cud130,2010,80,M,,0,0,3,3
14050,uad6dub9bduc554uc13cud130,2015,50,F,N,2,2,1,1
14050,uad6dub9bduc554uc13cud130,2013,43,F,N,2,2,2,2
14050,uad6dub9bduc554uc13cud130,2016,51,F,N,3,3,3,3
14050,uad6dub9bduc554uc13cud130,2011,40,F,,0,0,1,1
14050,uad6dub9bduc554uc13cud130,2017,85,M,N,1,1,1,1
14050,uad6dub9bduc554uc13cud130,2016,84,F,N,1,1,1,1
14050,uad6dub9bduc554uc13cud130,2009,78,M,,0,0,1,1
14050,uad6dub9bduc554uc13cud130,2016,44,M,N,2,2,1,1
14050,uad6dub9bduc554uc13cud130,2011,70,M,Y,1,1,1,25
14050,uad6dub9bduc554uc13cud130,2009,68,F,,0,0,1,1
14050,uad6dub9bduc554uc13cud130,2017,43,M,N,1,1,1,1
