statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
20040,uad6dub9bduc554uc13cud130,2009,65,M,N,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2012,56,M,Y,2,2,2,2
20040,uad6dub9bduc554uc13cud130,2014,63,F,N,3,3,3,3
20040,uad6dub9bduc554uc13cud130,2018,82,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2008,74,M,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2018,80,F,N,2,3,2,3
20040,uad6dub9bduc554uc13cud130,2011,54,F,N,2,2,2,2
20040,uad6dub9bduc554uc13cud130,2018,72,F,N,4,5,4,5
20040,uad6dub9bduc554uc13cud130,2008,43,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2018,69,M,N,1,3,1,3
20040,uad6dub9bduc554uc13cud130,2016,73,F,Y,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2013,62,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2009,62,F,N,3,3,3,3
20040,uad6dub9bduc554uc13cud130,2015,70,M,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2013,68,M,Y,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2016,44,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2015,75,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2011,68,M,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2014,56,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2013,63,M,Y,1,4,1,3
20040,uad6dub9bduc554uc13cud130,2017,70,M,N,1,3,1,3
20040,uad6dub9bduc554uc13cud130,2018,47,M,Y,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2010,64,M,N,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2015,61,F,N,2,2,2,2
20040,uad6dub9bduc554uc13cud130,2008,66,M,Y,3,4,3,4
20040,uad6dub9bduc554uc13cud130,2014,54,F,N,3,3,3,3
20040,uad6dub9bduc554uc13cud130,2015,56,M,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2014,70,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2015,85,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2016,61,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2011,53,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2011,73,M,Y,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2016,41,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2010,78,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2018,64,M,N,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2010,68,F,N,3,3,3,3
20040,uad6dub9bduc554uc13cud130,2012,67,M,Y,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2018,72,M,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2010,77,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2013,62,M,N,3,5,3,5
20040,uad6dub9bduc554uc13cud130,2018,60,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2015,72,M,Y,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2015,64,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2016,78,F,N,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2016,67,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2018,79,M,N,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2012,12,M,ubb34uc751ub2f5,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2015,68,M,N,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2008,66,F,N,2,2,2,2
20040,uad6dub9bduc554uc13cud130,2008,78,M,N,2,2,2,2
20040,uad6dub9bduc554uc13cud130,2016,54,M,Y,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2010,47,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2015,69,F,N,2,2,2,2
20040,uad6dub9bduc554uc13cud130,2010,61,M,Y,2,2,2,2
20040,uad6dub9bduc554uc13cud130,2009,68,M,N,2,4,2,4
20040,uad6dub9bduc554uc13cud130,2018,70,F,N,2,2,2,2
20040,uad6dub9bduc554uc13cud130,2018,57,F,Y,2,4,2,4
20040,uad6dub9bduc554uc13cud130,2008,48,M,N,1,2,1,2
20040,uad6dub9bduc554uc13cud130,2009,67,F,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2015,78,M,N,1,1,1,1
20040,uad6dub9bduc554uc13cud130,2011,73,F,Y,1,3,1,3
