statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
20050,국립암센터,2021,57,F,N,2,2,2,2
20050,국립암센터,2021,86,M,N,2,2,2,2
20050,국립암센터,2021,65,F,N,2,2,2,2
20050,국립암센터,2021,80,M,N,1,1,1,1
20050,국립암센터,2021,64,M,N,3,3,3,3
20050,국립암센터,2021,79,M,N,1,1,1,1
20050,국립암센터,2021,54,M,N,1,1,1,1
20050,국립암센터,2021,84,F,N,1,1,1,1
20050,국립암센터,2021,62,M,N,1,1,1,1
20050,국립암센터,2021,60,M,Y,1,2,1,2
20050,국립암센터,2021,81,F,N,2,2,2,2
20050,국립암센터,2021,78,F,N,3,3,3,3
20050,국립암센터,2021,77,F,N,3,3,3,3
20050,국립암센터,2021,74,F,N,3,3,3,3
20050,국립암센터,2021,63,M,N,1,1,1,1
20050,국립암센터,2021,65,M,N,2,2,2,2
20050,국립암센터,2021,85,M,N,1,1,1,1
20050,국립암센터,2021,67,M,Y,1,2,1,2
20050,국립암센터,2021,69,F,N,2,2,2,2
20050,국립암센터,2021,70,M,N,2,2,2,2
20050,국립암센터,2021,53,F,N,1,1,1,1
20050,국립암센터,2021,67,M,N,1,2,1,2
20050,국립암센터,2021,73,F,N,1,1,1,1
20050,국립암센터,2021,79,F,N,3,3,3,3
20050,국립암센터,2021,69,M,N,2,2,2,2
20050,국립암센터,2021,51,F,N,1,1,1,1
20050,국립암센터,2021,70,F,N,1,1,1,1
20050,국립암센터,2021,82,M,N,3,4,3,4
20050,국립암센터,2021,62,F,N,1,1,1,1
20050,국립암센터,2021,68,F,N,3,3,3,3
20050,국립암센터,2021,58,F,N,1,1,1,1
20050,국립암센터,2021,17,F,N,1,1,1,1
20050,국립암센터,2021,60,M,N,1,2,1,2
20050,국립암센터,2021,71,M,N,1,1,1,1
20050,국립암센터,2021,74,M,N,1,1,1,1
20050,국립암센터,2021,55,M,N,1,1,1,1
20050,국립암센터,2021,43,F,N,1,1,1,1
20050,국립암센터,2021,78,M,N,1,1,1,1
20050,국립암센터,2021,73,M,N,1,1,1,1
20050,국립암센터,2021,64,F,N,1,1,1,1
20050,국립암센터,2021,81,M,N,1,1,1,1
20050,국립암센터,2021,75,F,N,2,2,2,2
20050,국립암센터,2021,67,F,N,1,1,1,1
20050,국립암센터,2021,82,M,Y,1,4,1,4
20050,국립암센터,2021,66,M,Y,1,1,1,1
20050,국립암센터,2021,57,M,N,1,1,1,1
20050,국립암센터,2021,80,F,N,1,1,1,1
20050,국립암센터,2021,50,M,Y,1,1,1,1
20050,국립암센터,2021,77,M,N,1,1,1,1
20050,국립암센터,2021,87,M,N,1,1,1,1
20050,국립암센터,2021,82,F,N,2,2,1,1
20050,국립암센터,2021,66,F,N,1,1,1,1
20050,국립암센터,2021,71,F,N,2,2,2,2
20050,국립암센터,2021,72,F,N,1,1,1,1
20050,국립암센터,2021,61,M,N,3,3,3,3
20050,국립암센터,2021,75,M,N,1,1,1,1
20050,국립암센터,2021,76,F,N,2,2,2,2
20050,국립암센터,2021,52,M,N,1,1,1,1
20050,국립암센터,2021,58,M,Y,1,1,1,1
