statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
19040,국립암센터,2021,64,M,N,1,9,1,9
19040,국립암센터,2021,69,M,Y,3,3,3,3
19040,국립암센터,2021,83,M,Y,1,1,1,1
19040,국립암센터,2021,46,M,Y,1,1,1,1
19040,국립암센터,2021,68,M,N,5,10,5,10
19040,국립암센터,2021,57,M,Y,2,4,2,4
19040,국립암센터,2021,58,M,Y,2,2,2,2
19040,국립암센터,2021,56,M,Y,2,2,2,2
19040,국립암센터,2021,82,M,N,1,2,1,2
19040,국립암센터,2021,61,M,Y,9,10,9,10
19040,국립암센터,2021,51,M,N,1,1,1,1
19040,국립암센터,2021,64,M,Y,8,9,8,9
19040,국립암센터,2021,67,M,Y,2,7,2,7
19040,국립암센터,2021,63,M,N,2,5,2,5
19040,국립암센터,2021,74,M,N,3,7,3,7
19040,국립암센터,2021,55,M,N,1,2,1,2
19040,국립암센터,2021,60,M,N,3,6,3,6
19040,국립암센터,2021,70,M,N,1,2,1,2
19040,국립암센터,2021,77,M,N,2,5,2,5
19040,국립암센터,2021,82,M,Y,1,2,1,2
19040,국립암센터,2021,79,M,Y,1,3,1,3
19040,국립암센터,2021,63,M,Y,3,5,3,5
19040,국립암센터,2021,71,M,N,3,13,3,13
19040,국립암센터,2021,65,M,Y,3,7,3,7
19040,국립암센터,2021,75,M,N,3,8,3,8
19040,국립암센터,2021,50,M,Y,1,1,1,1
19040,국립암센터,2021,80,M,Y,3,6,3,6
19040,국립암센터,2021,76,M,Y,3,4,3,4
19040,국립암센터,2021,55,M,Y,1,2,1,2
19040,국립암센터,2021,77,M,Y,3,5,3,5
19040,국립암센터,2021,62,M,N,2,6,2,6
19040,국립암센터,2021,78,M,N,4,7,4,7
19040,국립암센터,2021,78,M,Y,3,7,3,7
19040,국립암센터,2021,59,M,N,1,1,1,1
19040,국립암센터,2021,72,M,N,1,5,1,5
19040,국립암센터,2021,66,M,Y,8,12,8,12
19040,국립암센터,2021,61,M,N,1,10,1,10
19040,국립암센터,2021,75,M,Y,5,8,5,8
19040,국립암센터,2021,72,M,Y,4,5,4,5
19040,국립암센터,2021,66,M,N,4,12,4,12
19040,국립암센터,2021,79,M,N,2,3,2,3
19040,국립암센터,2021,49,M,Y,1,1,1,1
19040,국립암센터,2021,81,M,N,3,5,3,5
19040,국립암센터,2021,76,M,N,1,4,1,4
19040,국립암센터,2021,71,M,Y,10,13,10,13
19040,국립암센터,2021,68,M,Y,5,10,5,10
19040,국립암센터,2021,74,M,Y,4,7,4,7
19040,국립암센터,2021,73,M,N,1,1,1,1
19040,국립암센터,2021,88,M,Y,1,1,1,1
19040,국립암센터,2021,80,M,N,3,6,3,6
19040,국립암센터,2021,57,M,N,2,4,2,4
19040,국립암센터,2021,62,M,Y,4,6,4,6
19040,국립암센터,2021,60,M,Y,3,6,3,6
19040,국립암센터,2021,81,M,Y,2,5,2,5
19040,국립암센터,2021,84,M,Y,2,2,2,2
19040,국립암센터,2021,65,M,N,4,7,4,7
19040,국립암센터,2021,67,M,N,5,7,5,7
19040,국립암센터,2021,70,M,Y,1,2,1,2
