statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
19050,국립암센터,2021,57,M,N,4,4,4,4
19050,국립암센터,2021,83,M,N,1,1,1,1
19050,국립암센터,2021,80,M,N,6,6,6,6
19050,국립암센터,2021,79,M,N,3,3,3,3
19050,국립암센터,2021,74,M,N,7,7,7,7
19050,국립암센터,2021,59,M,N,1,1,1,1
19050,국립암센터,2021,50,M,Y,1,1,1,1
19050,국립암센터,2021,63,M,N,5,5,5,5
19050,국립암센터,2021,56,M,N,2,2,2,2
19050,국립암센터,2021,72,M,Y,1,5,1,5
19050,국립암센터,2021,68,M,Y,3,10,3,10
19050,국립암센터,2021,46,M,Y,1,1,1,1
19050,국립암센터,2021,66,M,N,8,12,8,12
19050,국립암센터,2021,77,M,N,5,5,5,5
19050,국립암센터,2021,70,M,N,2,2,2,2
19050,국립암센터,2021,71,M,N,11,13,11,13
19050,국립암센터,2021,65,M,N,7,7,7,7
19050,국립암센터,2021,71,M,Y,2,13,2,13
19050,국립암센터,2021,72,M,N,4,5,4,5
19050,국립암센터,2021,76,M,N,3,4,3,4
19050,국립암센터,2021,62,M,N,4,6,4,6
19050,국립암센터,2021,68,M,N,7,10,7,10
19050,국립암센터,2021,64,M,Y,2,9,2,9
19050,국립암센터,2021,82,M,N,2,2,2,2
19050,국립암센터,2021,61,M,Y,1,10,1,10
19050,국립암센터,2021,78,M,N,6,7,6,7
19050,국립암센터,2021,60,M,N,6,6,6,6
19050,국립암센터,2021,88,M,N,1,1,1,1
19050,국립암센터,2021,66,M,Y,4,12,4,12
19050,국립암센터,2021,49,M,N,1,1,1,1
19050,국립암센터,2021,75,M,N,7,8,7,8
19050,국립암센터,2021,64,M,N,7,9,7,9
19050,국립암센터,2021,67,M,N,7,7,7,7
19050,국립암센터,2021,69,M,N,3,3,3,3
19050,국립암센터,2021,84,M,N,2,2,2,2
19050,국립암센터,2021,51,M,N,1,1,1,1
19050,국립암센터,2021,58,M,N,1,2,1,2
19050,국립암센터,2021,61,M,N,9,10,9,10
19050,국립암센터,2021,78,M,Y,1,7,1,7
19050,국립암센터,2021,75,M,Y,1,8,1,8
19050,국립암센터,2021,62,M,Y,2,6,2,6
19050,국립암센터,2021,76,M,Y,1,4,1,4
19050,국립암센터,2021,73,M,N,1,1,1,1
19050,국립암센터,2021,58,M,Y,1,2,1,2
19050,국립암센터,2021,81,M,N,5,5,5,5
19050,국립암센터,2021,55,M,N,2,2,2,2
