region,age_group,year_2014,year_2015,year_2016,year_2017,year_2018
서울,0세,14900,14179,12833,11261,9687
서울,1 - 4세,65640,60996,56519,52238,47205
서울,5 - 9세,85648,80798,76903,73279,68493
서울,10 - 14세,115327,97426,87080,82032,75363
서울,15 - 19세,160467,142545,126770,113759,101600
서울,20 - 24세,185556,175566,163050,153453,140378
서울,25 - 29세,174837,168500,166944,173531,157417
서울,30 - 34세,224939,207885,192561,182674,183960
서울,35 - 39세,223374,216155,212529,211691,218968
서울,40 - 44세,291450,263963,237726,220480,211130
서울,45 - 49세,298993,287318,284064,278128,273361
서울,50 - 54세,303379,284296,267169,257692,258126
서울,55 - 59세,268104,269026,270369,269363,266486
서울,60 - 64세,179961,192850,208818,218845,235106
서울,65 - 69세,136761,140158,139634,147056,155776
서울,70 - 74세,103468,102404,103769,106833,115890
서울,75 - 79세,65774,67339,72778,80552,86229
서울,80 - 84세,33643,36277,39791,43227,47684
서울,85세 이상,23808,24699,26438,28754,31313
부산,0세,5527,5291,5135,4431,3936
부산,1 - 4세,24533,23118,22517,21531,19712
부산,5 - 9세,30750,29499,29498,28855,27632
부산,10 - 14세,40986,34538,31474,30281,28179
부산,15 - 19세,56768,50892,46215,42382,38235
부산,20 - 24세,62971,59930,56940,53642,49481
부산,25 - 29세,50529,48120,49720,51391,46924
부산,30 - 34세,67022,61086,57035,53600,54002
부산,35 - 39세,71676,70168,71597,71245,73737
부산,40 - 44세,94283,86108,80515,76073,74666
부산,45 - 49세,100885,97057,96749,94707,94591
부산,50 - 54세,107463,98638,92237,89214,89534
부산,55 - 59세,100366,100040,102120,101800,99248
부산,60 - 64세,69272,74479,79725,84231,90801
부산,65 - 69세,48542,50961,53520,56810,60806
부산,70 - 74세,36289,35133,35798,37538,41044
부산,75 - 79세,22566,23016,24873,27517,29686
부산,80 - 84세,11896,12440,13506,14473,15680
부산,85세 이상,7807,8144,8813,9605,10284
대구,0세,4179,4107,3736,3367,3111
대구,1 - 4세,18804,17623,16987,16061,14817
대구,5 - 9세,25669,24100,23356,22599,21484
대구,10 - 14세,34166,28933,25918,24808,23096
대구,15 - 19세,47210,42108,38172,34128,30759
대구,20 - 24세,46810,45261,43185,40436,37178
대구,25 - 29세,34934,33712,34170,35438,33091
대구,30 - 34세,45504,41930,38806,36451,36678
대구,35 - 39세,51787,49255,48698,48104,50611
대구,40 - 44세,71900,65501,59837,55966,53898
대구,45 - 49세,77608,74265,72920,70545,69637
대구,50 - 54세,75364,71981,68308,66108,67048
대구,55 - 59세,61316,62617,64872,65656,66343
대구,60 - 64세,40421,43743,47129,49321,53164
대구,65 - 69세,28053,29736,31725,33703,36480
대구,70 - 74세,22072,21216,21213,21590,24010
